,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Quick Sort (pivotType 0),Best Case,468,4218,17838,62863,193863,516302,1209368,2555858,4969280,9051891,15611189,25758907,40846845,62800486,93506178
Quick Sort (pivotType 0),Most Likely Case,402,1546,3910,8195,19330,32309,60467,93618,137648,180487,283333,365495,483531,596274,715161
Quick Sort (pivotType 0),Worst Case,374,2481,7049,25787,93519,226811,531668,1103045,2189829,4040744,6951921,11730567,18263235,28434785,42096958
Quick Sort (pivotType 1),Best Case,573,2313,3740,10016,18348,32003,52917,81853,129187,160192,242464,307180,416738,520384,680663
Quick Sort (pivotType 1),Most Likely Case,454,1264,3374,8529,18319,32791,61105,89120,136905,194139,268961,362038,450514,610936,734066
Quick Sort (pivotType 1),Worst Case,465,2004,6531,24874,80472,202771,472049,1000544,1956409,3539165,6143779,10196675,15934257,24286616,36391433
