,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Merge Sort (mt4),Best Case,38663,43961,55472,76371,108967,171667,233486,323077,318277,547982,508078,874965,1037418,1421771,1817458
Merge Sort (mt4),Most Likely Case,36696,44489,55724,74011,111111,159878,241759,313559,341890,573931,558801,917907,1130976,1323653,1708061
Merge Sort (mt4),Worst Case,34244,43882,54201,84592,108473,158899,234496,322887,308878,548257,500381,872611,1126300,1429899,1863684
Quick Sort (mt4),Best Case,40547,43277,41363,46363,55609,66846,78917,96450,125594,160886,201676,263297,357478,451753,506655
Quick Sort (mt4),Most Likely Case,26296,38501,38817,43860,48037,62902,93094,110137,177169,214918,249196,344562,464478,451046,668632
Quick Sort (mt4),Worst Case,26406,41334,41821,60870,113258,239555,540167,1080176,2011068,3496908,5954320,9737949,15413102,23439252,34841983
