,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Insertion Sort,Best Case,86,164,427,718,1651,1829,2881,4064,5674,7627,10021,12879,16191,20074,24526
Insertion Sort,Most Likely Case,93,330,1993,8302,23091,63052,151532,299301,591945,1057972,1834437,3045583,4743313,7309053,10870735
Insertion Sort,Worst Case,98,659,3728,15595,45479,120150,294802,592109,1156732,2102370,3617270,5972274,9480775,14531623,21687956
Merge Sort,Best Case,1717,8516,23901,52061,101913,179254,278836,412735,585307,801516,992234,1391968,1712185,2029858,2685120
Merge Sort,Most Likely Case,1402,8722,23827,53519,104626,186337,291852,430734,618316,848119,1063533,1480999,1838441,2196184,2889006
Merge Sort,Worst Case,1444,9158,23603,53165,103149,180725,281133,410977,589799,802141,1003557,1395526,1722654,2056817,2711850
Quick Sort,Best Case,279,2204,13609,57806,186511,502497,1178127,2498052,4848806,8822826,15214766,25071164,39774492,61057841,91081559
Quick Sort,Most Likely Case,140,1002,4181,8282,18510,31196,59082,92637,133285,186247,261417,356022,436251,596594,715316
Quick Sort,Worst Case,159,917,7383,29232,91350,234240,547868,1090971,2086512,3988566,6835258,11484047,18719411,27049929,41140453
