,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Merge Sort (mt4),Best Case,58988,67830,68031,81335,95008,126044,179958,204835,391115,515143,637559,887343,1054531,1285902,1693086
Merge Sort (mt4),Most Likely Case,59632,68768,67345,83997,97170,133739,175625,227359,403955,519303,655695,903371,1132999,1376464,1788425
Merge Sort (mt4),Worst Case,53729,64672,72072,84519,104607,129889,178528,194778,389090,511497,661408,869345,1106552,1313607,1724055
Quick Sort (mt4),Best Case,62739,62770,68474,70195,72997,101754,91139,121250,139668,216158,301899,347022,390252,485349,638414
Quick Sort (mt4),Most Likely Case,32386,45456,53025,56258,58608,72628,85627,115176,131490,239194,258341,322564,590747,585667,725838
Quick Sort (mt4),Worst Case,33718,62183,62451,85413,154565,289002,648478,1242035,2227965,3899447,6484111,10375101,17052582,26065560,38700007
